dataset,resolution,N_points,num_samples,mse_normalized,rel_l1,rel_l2,mse,gaot_rel_l1
validation,32x32,1024,1750,0.387297978022801,77.46851752425943,100.39277577463218,1.8629520623094243e+30,0.3730085790157318
validation,64x32,2048,1400,0.5680124356105392,66.33141307924475,86.23607209160924,6.203354293326037e+30,0.37782683968544006
validation,128x32,4096,2100,0.38381573185890117,28.749525884560175,38.219744165766805,2.778851496283514e+30,0.36429479718208313
validation,128x128,16384,525,0.0391133845615245,46.95017168385642,62.505661220323475,1.288675591073784e+29,0.47326990962028503
validation,256x256,65536,90,0.019397606855879226,251.98529150221083,344.32472134696116,4.131560397200633e+28,0.31836652755737305
validation,OVERALL,-1,5865,0.3923754850486238,57.31208946380164,75.10383944481941,3.043789281292784e+30,0.3757116496562958
test,32x32,1024,12250,0.48430793147587353,79.7630460031884,105.97623111396906,2.2418929635250082e+30,0.37400707602500916
test,64x32,2048,9625,0.38302035530080847,69.81651803674326,92.21026222116916,6.221209383839385e+30,0.3858930170536041
test,128x32,4096,14875,0.2156454660686813,39.66928661837297,54.029731762970194,1.292848119160431e+30,0.327107697725296
test,128x128,16384,2100,0.2885119245531747,69.00461779205573,93.25072704783507,1.7023881837732848e+30,0.46387386322021484
test,256x256,65536,282,0.015805295125270884,71.21141888571124,97.42231275003853,4.152430568655218e+28,0.3124728202819824
test,OVERALL,-1,39132,0.3433865256799642,61.437014606462675,82.09967504842636,2.81509173912078e+30,0.36506155133247375
