dataset,resolution,N_points,num_samples,mse_normalized,rel_l1,rel_l2,mse
validation,32x32,1024,100,0.024541832506656647,94.6416244506836,108.25138854980469,1.5665578113594014e+29
validation,64x32,2048,100,0.0047571659088134766,68.1367416381836,93.037353515625,1.9954420964129963e+28
validation,128x32,4096,100,0.006789956241846085,96.15757751464844,143.091552734375,2.7093406548576838e+28
validation,128x128,16384,100,0.0038234011735767126,43.92822265625,66.13771057128906,1.8235747558663315e+28
validation,256x256,65536,90,0.017420494928956032,201.28683471679688,285.7195739746094,3.777940646078869e+28
validation,OVERALL,-1,490,0.011345061483051705,98.78006479691486,136.2582901935188,5.223282082082042e+28
